status_enc,url_length,url_dot,url_slash,url_hyphen,url_at,url_underline,url_plus,url_hashtag,url_digits,url_special,url_percent,url_equal,url_and,url_qm,uppercase_count,uppercase_ratio,digits_ratio,domain_length,subdomain_len,domain_digits,domain_scheme,domain_dots,domain_vowels,tld_enc,subdomain_enc,port_enc,dir_presence,dir_heirarchy,dir_slash,dir_hyphen,dir_digits,dir_percentage,filetype_length,query_presence,query_length,query_hyphen,query_equal,query_at,query_digits,Qdigits_ratio,filetype_enc,short_url,redirection,url_email,url_validation
0,0,3,3,0,0,0,0,0,0,37,0,0,0,0,0,0,0,2,3,0,1,2,5,73,2178,6,1,1,1,0,0,0,2,0,0,1,0,0,0,0,54,0,0,0,1
1,1,1,5,0,0,0,0,0,17,77,0,0,0,0,1,77,4,2,0,17,1,1,8,73,0,6,1,3,3,0,17,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,4,5,1,0,2,0,0,19,126,0,3,2,1,0,0,6,3,32,19,0,4,17,73,1865,6,1,3,3,0,9,0,1,1,3,1,3,0,0,4,76,0,0,0,1
0,0,2,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,1,2,3,5,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,2,5,2,0,0,0,0,0,55,0,0,0,0,0,0,0,1,3,0,1,2,4,73,2178,6,1,3,3,2,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,0,3,3,1,0,0,0,0,0,32,0,0,0,0,0,0,0,2,13,0,1,3,8,132,191,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,0,2,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,3,0,1,2,4,191,2178,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,2,5,0,0,0,0,0,21,81,0,0,0,0,1,81,3,3,3,21,1,2,8,73,2178,6,1,3,3,0,21,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,2,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,3,21,0,1,2,14,73,2025,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,1,0,0,1
0,1,1,6,10,0,0,0,0,8,104,0,0,0,0,0,0,13,1,0,8,0,1,4,73,0,6,1,4,4,10,8,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,3,4,0,0,1,0,0,0,56,0,0,0,0,4,14,0,2,3,0,0,2,8,133,2178,6,1,2,2,0,0,0,2,0,0,1,0,0,0,0,14,0,0,0,1
0,1,2,3,3,0,0,0,0,8,43,0,0,0,0,0,0,5,1,3,8,0,2,5,73,2178,6,1,1,1,3,8,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,1,4,9,0,0,0,0,1,83,0,0,0,0,0,0,83,1,0,1,0,1,5,230,0,6,1,2,2,9,1,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,0,2,3,0,0,0,0,0,2,31,0,0,0,0,0,0,15,1,0,2,1,1,3,174,0,6,1,1,1,0,2,0,2,0,0,1,0,0,0,0,38,0,0,0,1
0,0,2,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,3,0,0,2,4,73,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,3,4,0,0,0,0,0,1,51,0,1,0,1,0,0,51,2,4,1,1,3,7,68,2102,6,1,2,2,0,1,0,1,1,1,1,1,0,0,0,76,0,0,0,1
0,0,2,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2,3,0,0,2,6,73,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,1,0,0,1
1,1,2,5,0,0,0,0,0,3,50,0,0,0,0,0,0,16,2,4,3,1,2,9,73,276,6,1,3,3,0,3,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,0,2,4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2,3,0,1,2,5,73,2178,6,1,2,2,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,0,2,3,0,0,0,0,0,4,27,0,0,0,0,0,0,6,2,3,4,1,2,4,73,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,3,7,2,0,0,0,0,0,63,0,0,0,0,0,0,0,1,3,0,1,3,4,68,2178,6,1,5,5,2,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,2,4,4,0,0,0,0,0,66,0,0,0,0,0,0,0,1,4,0,0,2,4,73,374,6,1,2,2,4,0,0,1,0,0,1,0,0,0,0,76,1,0,0,1
1,1,2,5,0,0,0,0,0,4,40,0,0,0,0,3,13,10,1,0,4,1,1,2,230,0,6,1,3,3,0,4,0,2,0,0,1,0,0,0,0,54,0,0,0,1
0,1,1,4,3,0,0,0,0,0,48,0,0,0,0,0,0,0,1,0,0,1,1,5,73,0,6,1,2,2,2,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,4,4,1,0,2,0,0,12,126,0,3,2,1,0,0,10,3,32,12,1,4,17,73,1865,6,1,2,2,0,6,0,1,1,3,1,3,0,0,8,76,0,0,0,1
1,1,2,3,0,0,0,0,0,0,41,0,0,0,0,0,0,0,3,19,0,0,2,9,73,1502,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,1,0,0,1
0,0,2,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3,3,0,0,2,8,73,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,1,2,5,7,0,0,0,0,0,72,0,0,0,0,0,0,0,2,3,0,1,2,6,73,2178,6,1,3,3,5,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,4,4,0,0,0,0,0,11,68,0,0,0,0,0,0,6,3,24,11,1,4,15,73,1689,6,1,2,2,0,11,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,4,3,9,1,0,0,0,65,163,0,1,2,0,0,0,2,1,3,65,1,2,5,267,2178,6,1,1,1,1,18,0,1,0,0,1,0,0,0,0,76,0,0,1,1
0,0,2,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,3,0,1,2,6,73,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,2,4,0,0,0,0,0,22,64,0,0,0,0,1,64,2,2,3,22,1,2,6,73,1262,6,1,2,2,0,22,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,0,4,3,0,0,0,0,0,9,36,0,0,0,0,0,0,4,3,16,9,1,4,4,73,2310,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,1,0,0,1
1,1,2,6,0,0,1,0,0,0,61,0,0,0,0,0,0,0,1,0,0,1,1,3,73,0,6,1,4,4,0,0,0,2,0,0,1,0,0,0,0,38,1,0,0,1
0,1,2,4,0,0,0,0,0,14,66,0,1,0,1,6,11,4,2,7,14,0,2,6,73,177,6,1,2,2,0,0,0,1,1,2,1,1,0,0,1,76,0,0,0,1
0,0,2,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,3,3,0,0,2,8,191,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,5,10,0,0,2,0,0,0,113,0,1,0,0,1,113,0,2,0,0,1,1,6,73,0,6,1,8,8,0,0,0,2,0,0,1,0,0,0,0,38,0,0,0,1
0,1,2,2,4,0,0,0,0,0,41,0,0,0,0,0,0,0,3,23,0,1,2,6,73,2335,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,0,2,3,1,0,0,0,0,0,23,0,0,0,0,0,0,0,1,3,0,1,2,1,55,2178,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,0,2,2,1,0,0,0,0,0,31,0,0,0,0,0,0,0,2,13,0,1,2,7,73,1519,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,2,7,2,0,0,0,0,0,84,0,0,0,0,0,0,0,3,0,0,1,1,13,73,0,6,1,5,5,2,0,0,2,0,0,1,0,0,0,0,54,0,0,0,1
1,0,2,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,4,0,1,2,3,73,2097,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
1,1,2,9,2,0,0,0,0,29,98,0,0,0,0,0,0,3,3,3,29,1,2,9,139,2178,6,1,7,7,1,29,0,1,0,0,1,0,0,0,0,76,0,0,0,1
0,0,1,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,2,176,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,76,0,0,0,1
